record_id,source,language_ok,kurmanji_ok,punctuation_ok,question_is_real,context_ok,encoding_ok,license_metadata_ok,accept,comment
v2q_022083,kurmanji_news,,,,,,,,,
v2q_017871,kurmanji_news,,,,,,,,,
v2q_024896,kurmanji_news,,,,,,,,,
v2q_013857,kurmanji_news,,,,,,,,,
v2q_008066,kurmanji_news,,,,,,,,,
v2q_016282,kurmanji_news,,,,,,,,,
v2q_013799,kurmanji_news,,,,,,,,,
v2q_021530,kurmanji_news,,,,,,,,,
v2q_026570,kurmanji_news,,,,,,,,,
v2q_002824,kurmanji_news,,,,,,,,,
v2q_010501,kurmanji_news,,,,,,,,,
v2q_004836,kurmanji_news,,,,,,,,,
v2q_004612,kurmanji_news,,,,,,,,,
v2q_005481,kurmanji_news,,,,,,,,,
v2q_012244,kurmanji_news,,,,,,,,,
v2q_011388,kurmanji_news,,,,,,,,,
v2q_010021,kurmanji_news,,,,,,,,,
v2q_014438,kurmanji_news,,,,,,,,,
v2q_001791,kurmanji_news,,,,,,,,,
v2q_011965,kurmanji_news,,,,,,,,,
v2q_022026,kurmanji_news,,,,,,,,,
v2q_015636,kurmanji_news,,,,,,,,,
v2q_001433,kurmanji_news,,,,,,,,,
v2q_013746,kurmanji_news,,,,,,,,,
v2q_006215,kurmanji_news,,,,,,,,,
v2q_030253,kurmanji_news,,,,,,,,,
v2q_031844,kurmanji_news,,,,,,,,,
v2q_003264,kurmanji_news,,,,,,,,,
v2q_033588,kurmanji_news,,,,,,,,,
v2q_034589,kurmanji_news,,,,,,,,,
v2q_033794,kurmanji_news,,,,,,,,,
v2q_012482,kurmanji_news,,,,,,,,,
v2q_034696,kurmanji_news,,,,,,,,,
v2q_021089,kurmanji_news,,,,,,,,,
v2q_032094,kurmanji_news,,,,,,,,,
v2q_002301,kurmanji_news,,,,,,,,,
v2q_034865,kurmanji_news,,,,,,,,,
v2q_007686,kurmanji_news,,,,,,,,,
v2q_002134,kurmanji_news,,,,,,,,,
v2q_023251,kurmanji_news,,,,,,,,,
v2q_022694,kurmanji_news,,,,,,,,,
v2q_010626,kurmanji_news,,,,,,,,,
v2q_027262,kurmanji_news,,,,,,,,,
v2q_024988,kurmanji_news,,,,,,,,,
v2q_021103,kurmanji_news,,,,,,,,,
v2q_013935,kurmanji_news,,,,,,,,,
v2q_016913,kurmanji_news,,,,,,,,,
v2q_021863,kurmanji_news,,,,,,,,,
v2q_012046,kurmanji_news,,,,,,,,,
v2q_016038,kurmanji_news,,,,,,,,,
v2q_029665,kurmanji_news,,,,,,,,,
v2q_014708,kurmanji_news,,,,,,,,,
v2q_034909,kurmanji_news,,,,,,,,,
v2q_002820,kurmanji_news,,,,,,,,,
v2q_035360,kurmanji_news,,,,,,,,,
v2q_022897,kurmanji_news,,,,,,,,,
v2q_007654,kurmanji_news,,,,,,,,,
v2q_027545,kurmanji_news,,,,,,,,,
v2q_029976,kurmanji_news,,,,,,,,,
v2q_024747,kurmanji_news,,,,,,,,,
v2q_029344,kurmanji_news,,,,,,,,,
v2q_008412,kurmanji_news,,,,,,,,,
v2q_006636,kurmanji_news,,,,,,,,,
v2q_022146,kurmanji_news,,,,,,,,,
v2q_015303,kurmanji_news,,,,,,,,,
v2q_010841,kurmanji_news,,,,,,,,,
v2q_017877,kurmanji_news,,,,,,,,,
v2q_002521,kurmanji_news,,,,,,,,,
v2q_006424,kurmanji_news,,,,,,,,,
v2q_024537,kurmanji_news,,,,,,,,,
v2q_006147,kurmanji_news,,,,,,,,,
v2q_010112,kurmanji_news,,,,,,,,,
v2q_012828,kurmanji_news,,,,,,,,,
v2q_029402,kurmanji_news,,,,,,,,,
v2q_026234,kurmanji_news,,,,,,,,,
v2q_031462,kurmanji_news,,,,,,,,,
v2q_003127,kurmanji_news,,,,,,,,,
v2q_021708,kurmanji_news,,,,,,,,,
v2q_001123,kurmanji_news,,,,,,,,,
v2q_027001,kurmanji_news,,,,,,,,,
v2q_032158,kurmanji_news,,,,,,,,,
v2q_031080,kurmanji_news,,,,,,,,,
v2q_027882,kurmanji_news,,,,,,,,,
v2q_031662,kurmanji_news,,,,,,,,,
v2q_026465,kurmanji_news,,,,,,,,,
v2q_011728,kurmanji_news,,,,,,,,,
v2q_029960,kurmanji_news,,,,,,,,,
v2q_012020,kurmanji_news,,,,,,,,,
v2q_021650,kurmanji_news,,,,,,,,,
v2q_015681,kurmanji_news,,,,,,,,,
v2q_029604,kurmanji_news,,,,,,,,,
v2q_034796,kurmanji_news,,,,,,,,,
v2q_024736,kurmanji_news,,,,,,,,,
v2q_014914,kurmanji_news,,,,,,,,,
v2q_016689,kurmanji_news,,,,,,,,,
v2q_030677,kurmanji_news,,,,,,,,,
v2q_001162,kurmanji_news,,,,,,,,,
v2q_001673,kurmanji_news,,,,,,,,,
v2q_021514,kurmanji_news,,,,,,,,,
v2q_003095,kurmanji_news,,,,,,,,,
v2q_006357,kurmanji_news,,,,,,,,,
v2q_008554,kurmanji_news,,,,,,,,,
v2q_034367,kurmanji_news,,,,,,,,,
v2q_016447,kurmanji_news,,,,,,,,,
v2q_029145,kurmanji_news,,,,,,,,,
v2q_029626,kurmanji_news,,,,,,,,,
v2q_024372,kurmanji_news,,,,,,,,,
v2q_012479,kurmanji_news,,,,,,,,,
v2q_001400,kurmanji_news,,,,,,,,,
v2q_024816,kurmanji_news,,,,,,,,,
v2q_001610,kurmanji_news,,,,,,,,,
v2q_032987,kurmanji_news,,,,,,,,,
v2q_018567,kurmanji_news,,,,,,,,,
v2q_011625,kurmanji_news,,,,,,,,,
v2q_010551,kurmanji_news,,,,,,,,,
v2q_032620,kurmanji_news,,,,,,,,,
v2q_020601,kurmanji_news,,,,,,,,,
v2q_005992,kurmanji_news,,,,,,,,,
v2q_026333,kurmanji_news,,,,,,,,,
v2q_033008,kurmanji_news,,,,,,,,,
v2q_004377,kurmanji_news,,,,,,,,,
v2q_028464,kurmanji_news,,,,,,,,,
v2q_022371,kurmanji_news,,,,,,,,,
v2q_015021,kurmanji_news,,,,,,,,,
v2q_011389,kurmanji_news,,,,,,,,,
v2q_008865,kurmanji_news,,,,,,,,,
v2q_024600,kurmanji_news,,,,,,,,,
v2q_025395,kurmanji_news,,,,,,,,,
v2q_026211,kurmanji_news,,,,,,,,,
v2q_002252,kurmanji_news,,,,,,,,,
