record_id,source,source_document_id,source_url,license
v2q_028675,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3178?page=946,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3178?page=946,check dataset card / original news site licenses before redistribution
v2q_028676,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3143?page=946,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3143?page=946,check dataset card / original news site licenses before redistribution
v2q_028677,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3358?page=946,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3358?page=946,check dataset card / original news site licenses before redistribution
v2q_028678,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3439?page=945,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3439?page=945,check dataset card / original news site licenses before redistribution
v2q_028679,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3427?page=945,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3427?page=945,check dataset card / original news site licenses before redistribution
v2q_028680,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3360?page=945,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3360?page=945,check dataset card / original news site licenses before redistribution
v2q_028681,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3584?page=945,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3584?page=945,check dataset card / original news site licenses before redistribution
v2q_028682,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3451?page=945,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3451?page=945,check dataset card / original news site licenses before redistribution
v2q_028683,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3530?page=945,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3530?page=945,check dataset card / original news site licenses before redistribution
v2q_028684,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3524?page=945,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3524?page=945,check dataset card / original news site licenses before redistribution
v2q_028685,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3428?page=945,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3428?page=945,check dataset card / original news site licenses before redistribution
v2q_028686,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3523?page=945,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3523?page=945,check dataset card / original news site licenses before redistribution
